Fecha,DELEGACI‡N,Clave INEGI AGEE,Delitos contra la salud_ Producci¢n,Delitos contra la salud_Transporte,Delitos contra la salud_Tr†fico,Delitos contra la salud_Comercio,Delitos contra la salud_Suministro,Delitos contra la salud_Posesi¢n,Delitos contra la salud_Otros,Delitos diversos_Instituciones de banca y crÇdito,Delitos diversos_Fiscales,Delitos diversos_Patrimoniales,Delitos diversos_Ambientales,Delitos diversos_Propiedad intelectual e industrial,Delitos diversos_Servidor p£blico,Delitos diversos_LFAFyE,Delitos diversos_Asociaci¢n delictuosa,Delitos diversos_Robo en carretera,Delitos diversos_Ley general de poblaci¢n,Delitos diversos_Ataques a las v°as generales de comunicaci¢n,Delitos diversos_Culposos por transito de veh°culos,Delitos diversos_Otras leyes especiales,Delitos diversos_LFCDO,Delitos diversos_Delitos electorales,Delitos diversos_Otros
2001-01,AGUASCALIENTES,01,0,0,0,0,0,10,0,0,0,0,0,12,0,6,0,0,0,0,2,5,0,0,9
2001-01,BAJA CALIFORNIA,02,0,24,1,0,0,249,8,0,3,72,1,0,0,195,0,0,81,6,9,1,0,0,40
2001-01,BAJA CALIFORNIA SUR,03,1,0,0,0,0,14,16,0,0,8,13,0,0,2,0,0,0,1,0,0,0,0,27
2001-01,CAMPECHE,04,1,1,0,4,0,9,1,0,0,7,3,0,1,6,0,0,1,0,0,2,0,1,1
2001-01,COAHUILA,05,0,2,0,2,4,23,18,0,2,1,0,0,0,21,0,0,1,2,2,0,0,0,62
2001-01,COLIMA,06,0,1,0,1,26,6,0,0,0,0,0,0,0,12,0,0,0,3,1,0,0,0,2
2001-01,CHIAPAS,07,1,1,0,0,0,7,0,0,0,29,0,0,1,54,0,0,15,6,0,7,0,16,29
2001-01,CHIHUAHUA,08,7,19,0,13,0,108,3,0,6,4,2,0,0,87,0,0,3,1,0,0,0,0,16
2001-01,DISTRITO FEDERAL,09,0,0,0,6,4,14,0,16,1,418,0,10,3,171,0,1,15,6,38,0,6,7,206
2001-01,DURANGO,10,0,2,0,0,0,18,2,0,0,6,0,10,2,36,0,0,0,1,0,2,0,1,11
2001-01,GUANAJUATO,11,0,3,0,7,4,52,2,0,0,4,0,0,0,89,0,0,0,2,3,3,0,0,46
2001-01,GUERRERO,12,1,2,0,1,0,13,19,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,37
2001-01,HIDALGO,13,0,1,0,1,0,26,0,0,1,20,6,0,0,25,0,0,0,4,9,1,0,0,7
2001-01,JALISCO,14,2,1,0,2,0,153,2,0,3,60,1,0,2,114,1,6,0,4,2,0,0,1,32
2001-01,MêXICO,15,0,0,0,6,0,71,4,3,0,73,14,10,13,72,0,1,0,0,54,17,0,2,22
2001-01,MICHOACµN,16,2,0,4,0,8,58,5,0,0,4,1,0,6,89,0,0,0,5,1,0,0,0,42
2001-01,MORELOS,17,0,1,0,5,4,42,1,0,0,1,6,0,2,34,0,0,0,5,0,0,0,0,22
2001-01,NAYARIT,18,0,0,0,0,0,10,5,0,0,0,2,0,2,17,0,0,0,1,0,0,0,1,11
2001-01,NUEVO LE‡N,19,0,0,0,0,0,60,1,0,1,2,0,0,9,13,0,0,0,0,0,2,0,0,32
2001-01,OAXACA,20,1,3,4,0,0,22,5,0,1,11,3,0,3,43,0,0,7,9,1,0,0,1,27
2001-01,PUEBLA,21,0,0,0,0,0,13,4,0,0,26,10,0,4,32,0,1,1,3,16,2,0,1,40
2001-01,QUERêTARO,22,0,0,2,3,0,24,0,3,0,0,0,0,5,20,1,5,0,0,2,0,0,0,7
2001-01,QUINTANA ROO,23,0,1,1,1,4,17,11,0,0,0,2,0,0,1,0,0,5,1,0,0,0,0,26
2001-01,SAN LUIS POTOS÷,24,0,28,0,1,0,22,3,0,0,4,5,0,0,45,0,0,1,1,1,5,0,0,19
2001-01,SINALOA,25,3,11,0,3,0,64,6,1,0,6,1,0,0,66,0,0,1,0,3,0,0,1,24
2001-01,SONORA,26,0,17,10,8,0,113,11,3,26,9,0,0,8,54,0,0,19,3,2,0,0,0,45
2001-01,TABASCO,27,0,1,0,2,0,28,0,0,0,51,0,0,0,5,0,0,8,4,0,0,0,2,11
2001-01,TAMAULIPAS,28,0,1,0,5,0,29,10,0,14,1,0,0,0,63,0,0,5,4,3,1,0,0,40
2001-01,TLAXCALA,29,0,0,0,0,0,3,0,0,8,4,1,0,0,12,0,0,1,3,3,0,0,1,8
2001-01,VERACRUZ,30,0,6,0,2,0,24,1,0,0,34,3,0,2,49,0,0,6,11,7,26,0,2,23
2001-01,YUCATµN,31,0,0,0,1,0,5,0,0,0,4,0,0,0,1,0,0,1,1,2,0,0,2,8
2001-01,ZACATECAS,32,0,2,0,5,0,3,3,0,0,19,2,0,0,18,0,0,0,3,2,0,0,1,7
2001-02,AGUASCALIENTES,01,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,16
2001-02,BAJA CALIFORNIA,02,1,10,0,1,0,231,23,0,15,111,2,0,0,140,0,0,52,1,20,0,0,0,35
2001-02,BAJA CALIFORNIA SUR,03,0,0,0,0,0,5,4,0,0,14,1,0,0,5,0,0,0,0,0,0,0,0,5
2001-02,CAMPECHE,04,4,0,0,1,0,4,1,0,3,6,3,0,4,5,0,0,1,0,0,0,0,0,4
2001-02,COAHUILA,05,0,2,0,0,0,26,23,0,1,0,0,1,0,13,0,0,4,3,3,0,0,0,43
2001-02,COLIMA,06,1,0,0,0,49,1,2,0,0,0,0,1,2,10,0,0,0,0,1,0,0,0,14
2001-02,CHIAPAS,07,1,1,0,0,0,6,0,0,0,17,3,0,0,39,0,0,28,5,0,0,0,11,31
2001-02,CHIHUAHUA,08,6,11,1,3,0,63,7,0,4,5,4,0,2,99,0,0,5,2,0,0,0,0,21
2001-02,DISTRITO FEDERAL,09,0,0,0,22,0,45,2,8,14,363,2,4,14,159,0,3,11,18,40,0,2,4,251
2001-02,DURANGO,10,0,10,0,0,0,14,2,0,1,5,1,5,3,41,0,0,0,6,0,2,0,0,6
2001-02,GUANAJUATO,11,1,2,0,5,0,41,1,0,0,8,0,1,0,76,0,0,2,5,4,0,0,0,27
2001-02,GUERRERO,12,0,1,0,0,0,13,9,0,0,0,1,0,5,12,0,2,0,3,0,0,0,0,23
2001-02,HIDALGO,13,0,0,0,1,0,3,8,0,0,1,8,0,0,18,0,0,2,5,3,0,0,0,21
2001-02,JALISCO,14,0,3,0,3,24,167,12,1,4,46,9,0,0,95,0,2,0,7,7,0,0,4,59
2001-02,MêXICO,15,0,1,0,5,0,106,6,9,0,102,17,8,0,80,0,1,6,0,49,46,0,4,40
2001-02,MICHOACµN,16,0,0,1,1,0,45,3,0,0,10,2,0,2,63,0,0,0,5,3,3,0,0,21
2001-02,MORELOS,17,0,0,0,11,24,48,3,0,1,0,4,0,5,19,0,0,0,9,0,0,0,0,13
2001-02,NAYARIT,18,0,2,0,2,0,13,9,0,0,0,2,0,4,12,0,0,0,1,0,0,0,0,17
2001-02,NUEVO LE‡N,19,0,4,0,5,0,87,0,0,4,2,2,5,16,35,0,0,1,2,4,19,0,0,24
2001-02,OAXACA,20,0,0,0,0,0,18,8,0,1,4,4,0,4,37,0,0,4,12,0,2,0,0,28
2001-02,PUEBLA,21,0,0,0,1,0,11,0,0,0,29,18,1,2,41,0,1,2,8,19,0,0,1,56
2001-02,QUERêTARO,22,2,3,0,0,0,10,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,7
2001-02,QUINTANA ROO,23,1,0,0,2,0,13,18,0,0,1,0,0,2,3,0,0,4,0,0,0,0,0,18
2001-02,SAN LUIS POTOS÷,24,0,9,0,1,0,22,6,0,0,5,0,0,0,41,0,2,0,1,0,1,0,0,28
2001-02,SINALOA,25,3,12,0,1,0,65,5,1,0,4,0,1,2,34,0,0,1,0,2,0,0,0,44
2001-02,SONORA,26,0,25,6,9,0,139,26,0,15,13,2,0,5,41,0,1,15,4,1,5,0,2,67
2001-02,TABASCO,27,0,0,0,3,0,17,0,0,0,72,4,0,0,9,0,0,13,3,0,0,0,0,18
2001-02,TAMAULIPAS,28,0,4,0,0,0,45,9,0,11,2,0,0,2,53,0,0,11,4,2,0,0,0,60
2001-02,TLAXCALA,29,0,0,0,0,0,2,0,0,5,4,2,0,5,7,0,0,0,7,1,0,0,1,12
2001-02,VERACRUZ,30,0,2,0,2,0,35,3,0,0,40,3,0,3,43,0,3,15,12,5,3,0,1,41
2001-02,YUCATµN,31,0,0,0,0,0,15,2,0,0,4,0,0,0,3,0,0,0,3,3,0,0,5,11
2001-02,ZACATECAS,32,0,12,0,2,12,15,1,0,0,3,3,0,2,25,0,0,0,1,2,0,0,0,13
2001-03,AGUASCALIENTES,01,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,12
2001-03,BAJA CALIFORNIA,02,0,9,0,0,0,335,50,2,32,326,4,0,9,145,0,0,75,10,140,0,0,0,328
2001-03,BAJA CALIFORNIA SUR,03,0,0,0,0,0,23,4,0,0,9,1,0,0,7,0,0,0,1,0,0,0,0,9
