Fecha,Delegaci¢n,Clave INEGI AGEE,Delitos contra la salud_ Producci¢n,Delitos contra la salud_Transporte,Delitos contra la salud_Tr†fico,Delitos contra la salud_Comercio,Delitos contra la salud_Suministro,Delitos contra la salud_Posesi¢n,Delitos contra la salud_Otros,Delitos diversos_Instituciones de banca y crÇdito,Delitos diversos_Fiscales,Delitos diversos_Patrimoniales,Delitos diversos_Ambientales,Delitos diversos_Propiedad intelectual e industrial,Delitos diversos_Servidor p£blico,Delitos diversos_LFAFyE,Delitos diversos_Ley general de poblaci¢n,Delitos diversos_Ataques a las v°as generales de comunicaci¢n,Delitos diversos_Contra la integrida corporal,Delitos diversos_Otras leyes especiales,Delitos diversos_LFCDO,Delitos diversos_Delitos electorales,Delitos diversos_Otros
2007-01,AGUASCALIENTES,01,0,0,0,0,0,78,0,0,0,3,0,0,0,8,0,0,0,0,0,2,12
2007-01,BAJA CALIFORNIA,02,0,0,0,5,0,494,2,1,0,81,2,1,0,76,43,2,0,2,5,3,31
2007-01,BAJA CALIFORNIA SUR,03,0,0,0,2,0,127,0,0,0,16,1,1,7,10,0,0,0,0,0,0,18
2007-01,CAMPECHE,04,0,2,0,8,0,24,0,0,0,7,2,0,0,9,0,3,0,0,1,0,3
2007-01,COAHUILA,05,0,2,0,5,0,97,1,0,5,2,0,0,3,23,2,1,0,9,0,0,28
2007-01,COLIMA,06,0,1,6,4,2,68,7,1,1,2,0,1,2,9,0,0,0,1,0,0,5
2007-01,CHIAPAS,07,0,3,0,19,0,38,0,0,2,17,2,1,7,37,19,1,0,5,0,1,18
2007-01,CHIHUAHUA,08,0,7,0,1,2,132,5,6,11,22,1,6,2,38,11,4,4,1,0,1,44
2007-01,DISTRITO FEDERAL,09,0,0,0,0,0,707,2,120,11,278,0,11,42,107,7,7,0,24,13,9,303
2007-01,DURANGO,10,0,3,0,9,0,49,2,1,4,5,5,0,5,13,4,2,0,0,2,1,30
2007-01,GUANAJUATO,11,0,0,0,12,0,838,1,18,2,14,1,3,9,65,3,6,0,10,1,0,40
