Fecha,Delegacion,Clave INEGI AGEE,Codigo Penal Federal (CPF)_Delitos contra la salud_ Produccion,Codigo Penal Federal (CPF)_Delitos contra la salud_Transporte,Codigo Penal Federal (CPF)_Delitos contra la salud_Tr fico,Codigo Penal Federal (CPF)_Delitos contra la salud_Comercio,Codigo Penal Federal (CPF)_Delitos contra la salud_Suministro,Codigo Penal Federal (CPF)_Delitos contra la salud_Posesion,Codigo Penal Federal (CPF)_Delitos contra la salud_Otros,Codigo Penal Federal (CPF)_Cometidos por Servidores Publicos,Codigo Penal Federal (CPF)_Contra el Ambiente y la Gestion Ambiental,Codigo Penal Federal (CPF)_Contra la integridad corporal,Codigo Penal Federal (CPF)_Electorales,Codigo Penal Federal (CPF)_En Materia de Derechos de Autor,"Codigo Penal Federal (CPF)_Falsedad, T¡tulo D‚cimo Tercero",Codigo Penal Federal (CPF)_Patrimoniales,Codigo Penal Federal (CPF)_V¡as de Comunicacion y Correspondencia,Codigo Penal Federal (CPF)_Otros Delitos del CPF,Codigo Fiscal de la Federacion (CFF),Ley de la Propiedad Industrial (LPI),Ley de V¡as Generales de Comunicacion (LVGC),Ley Federal del Derecho de Autor (LFDA),Ley Federal de Armas de Fuego y Explosivos (LFAFE),Ley de Migracion (LM),Ley General de Salud (LGS)_Contra la salud en su modalidad de Narcomenudeo,Ley General de Salud (LGS)_Otros delitos previstos en la LGS,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Contra la salud,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Otros delitos previstos en la LFCDO,"Leyes de Instituciones de Cr‚dito, Inversion, Fianzas y Seguros",Otras Leyes Especiales
2012-01,AGUASCALIENTES,1,0,0,0,13,0,22,1,4,9,1,0,2,2,7,0,4,5,3,1,0,7,0,4,0,0,3,1,1
2012-01,BAJA CALIFORNIA,2,0,0,0,12,1,691,2,15,3,1,4,19,45,98,1,21,46,2,0,0,103,24,0,0,0,2,4,1
2012-01,BAJA CALIFORNIA SUR,3,0,6,2,1,0,0,0,0,5,1,1,0,3,13,0,2,0,0,0,0,4,0,69,1,0,0,0,1
2012-01,CAMPECHE,4,0,1,0,1,0,1,0,1,7,0,1,1,4,5,0,7,1,0,0,0,3,0,0,0,0,0,0,3
2012-01,COAHUILA,5,0,0,0,3,0,8,16,2,0,3,5,0,5,30,2,19,16,0,1,2,48,0,21,0,0,4,1,0
2012-01,COLIMA,6,0,0,0,2,0,7,4,2,1,0,1,1,6,8,0,10,13,0,1,2,12,0,0,2,0,0,1,0
2012-01,CHIAPAS,7,0,7,0,3,0,2,26,11,5,0,3,0,14,17,1,21,15,1,1,0,30,4,14,0,0,0,2,23
2012-01,CHIHUAHUA,8,4,2,0,1,0,83,10,7,3,0,7,0,25,37,1,20,16,0,1,1,64,0,31,0,0,1,3,11
2012-01,DISTRITO FEDERAL,9,1,1,0,13,1,331,214,93,4,3,21,3,184,244,6,60,27,70,0,69,79,1,15,0,4,37,309,6
2012-01,DURANGO,10,3,0,0,13,0,5,8,2,3,3,3,0,3,24,2,16,2,0,4,0,15,0,8,0,0,5,0,1
2012-01,GUANAJUATO,11,4,1,0,9,4,238,7,5,4,0,0,2,14,62,12,19,36,5,2,3,83,0,322,0,0,1,16,5
